Time (s),Absolute Beschleunigung (m/s^2),Unnamed: 2,Unnamed: 3
0.87,0.266,,
0.853,0.335,,
1.173,0.463,,
1.19,0.49,,
1.156,0.525,,
1.207,0.571,,
0.887,0.576,,
1.139,0.621,,
0.18,0.654,,
0.163,0.676,,
0.129,0.704,,
1.123,0.718,,
0.836,0.747,,
0.146,0.763,,
0.196,0.777,,
1.224,0.787,,
0.348,0.805,,
0.331,0.832,,
0.904,0.87,,
1.106,0.878,,
0.264,0.922,,
0.466,0.927,,
0.432,0.929,,
0.213,0.94,,
0.365,0.943,,
0.483,0.945,,
0.062,0.953,,
0.449,0.962,,
0.045,0.969,,
0.281,0.98,,
0.415,0.983,,
0.247,1.007,,
0.23,1.043,,
0.079,1.052,,
0.382,1.074,,
0.314,1.084,,
1.089,1.087,,
0.297,1.105,,
0.921,1.105,,
0.82,1.135,,
0.399,1.135,,
0.112,1.149,,
1.24,1.169,,
1.072,1.251,,
0.937,1.272,,
0.095,1.323,,
0.954,1.358,,
0.971,1.407,,
1.695,1.413,,
0.803,1.428,,
1.055,1.466,,
0.988,1.564,,
1.257,1.565,,
0.786,1.619,,
1.038,1.622,,
1.678,1.634,,
1.022,1.687,,
1.005,1.699,,
1.274,1.9,,
1.661,1.932,,
0.516,1.933,,
0.769,1.944,,
0.5,1.968,,
1.645,2.175,,
1.291,2.195,,
0.533,2.207,,
0.752,2.284,,
1.628,2.36,,
0.55,2.482,,
1.308,2.485,,
1.611,2.517,,
0.735,2.538,,
1.325,2.625,,
1.594,2.715,,
0.567,2.745,,
1.342,2.784,,
0.718,2.789,,
1.577,2.895,,
1.56,2.98,,
1.544,2.987,,
1.358,3.001,,
0.702,3.013,,
0.584,3.017,,
1.443,3.052,,
1.527,3.09,,
1.426,3.117,,
1.51,3.145,,
1.459,3.158,,
0.685,3.167,,
1.375,3.214,,
1.409,3.239,,
1.493,3.256,,
0.668,3.263,,
0.601,3.282,,
1.392,3.289,,
1.476,3.307,,
0.651,3.427,,
0.617,3.439,,
0.634,3.487,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
